pheno	phenoname	hypothesis	n	ncovs	gm_estimate	gm_t.statistic	gm_p.value	wm_estimate	wm_t.statistic	wm_p.value	gwm_estimate	gwm_t.statistic	gwm_p.value
RRdi	Diastolic blood pressure	+	281	4	0.0904320229890352	1.50581532840169	0.0666311651251936	0.131012761914283	2.19149001993704	0.0146275632368117	0.124350755867304	2.07825474018171	0.0193066381352736
RRsy	Systolic blood pressure	+	281	4	0.00926234071626172	0.153605133288264	0.439016872812658	0.0530764932217432	0.881416467028326	0.189431081468976	0.0367544427888005	0.609915583915049	0.271210683806141
finalMetLscore	Metabolic load factor	+	321	4	-0.0458483201087089	-0.814583564658705	0.792036938956249	0.0393127283012408	0.698271506033595	0.242761284249763	0.00930372245966414	0.165131840052475	0.434473067199688
GammaGTGGTUL	Gamma-glutamyl-transferase	+	327	4	-0.022533277873185	-0.403819394008463	0.656692791375516	0.0495285169842853	0.8884667371466	0.187477504402985	0.0224072387622651	0.401559506340705	0.344137719825219
HarnsaeuremgdL	Uric acid	+	327	4	0.0410294955175951	0.735723369569501	0.23121815174103	0.08467217903173	1.52249428390883	0.0644348792236947	0.0751222795315121	1.34974020422414	0.0890251964435595
TNF1	Tumor necrosis factor-alpha	+	307	4	0.0875902099188966	1.52549645199877	0.0640926676348571	0.066016754194399	1.14785190033203	0.125970585807699	0.0826035856945433	1.43803315054213	0.0757317495078814
DS2_corr	Digit symbol substitution test	-	324	4	-0.171255424450501	-3.09971481825036	0.00105511142850383	-0.136006068178683	-2.44808320218389	0.00745097301874695	-0.176117845675558	-3.1905015251278	0.000780971892541256
EM_final	Episodic memory	-	335	4	-0.0826292623697495	-1.50390188144711	0.0667829761389038	-0.134836597965237	-2.46825484930493	0.00704269873786325	-0.130283094105131	-2.38343570564891	0.00885940989179596
WM_final	Working memory	-	335	4	-0.0831875599820194	-1.51413380015752	0.0654759881673913	-0.15014371582358	-2.75458582483231	0.00310178833453219	-0.139691599994969	-2.55886565533875	0.00547424711601789
Gf_final	Fluid intelligence	-	335	4	-0.0660182232681486	-1.20008018585801	0.115485817101074	-0.134979244911854	-2.47091450847486	0.00699150751678705	-0.123034428363778	-2.24872732710885	0.0125955923612001
futi_mean	Future time perspective	-	332	4	0.0266646890059696	0.481614740523214	0.684798605676998	0.0364789545084105	0.65908334361017	0.744846241533684	0.0362927227264766	0.655714152587062	0.743764728371043
cfc_mean	Consideration of future consequences	-	335	4	0.0236421995443931	0.428950557567776	0.665880029863786	-0.0339972777992173	-0.617011445359081	0.2688269661336	-0.0158829517110632	-0.288126995612381	0.386715477582744
